Accession	GeneName	Description	PG.Qvalue	S0.1	S0.2	S0.3	S3.1	S3.2	S3.3	S6.1	S6.2	S6.3	S9.1	S9.2	S9.3	S12.1	S12.2	S12.3	S24.1	S24.2	S24.3
Q86UY5	FAM83A	Protein FAM83A	4.60E-19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	0.001128208	NaN	2.16726613	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q86UY6	NAA40	N-alpha-acetyltransferase 40	2.30E-42	1695038.375	2568001.75	1494937.75	1625170.75	2156451.75	1813309.75	1987579.125	1618378.875	1566699.5	1597292.125	1205442.5	1505728.375	1429302.75	1595651.375	1519357.75	1828071.625	1465944.625	1748447.625
Q86UY8	NT5DC3	5'-nucleotidase domain-containing protein 3	2.28E-05	NaN	NaN	NaN	451262.0313	NaN	462049	NaN	196888.6875	346204.5	NaN	853405.125	NaN	NaN	230479.0156	NaN	489937.0938	190036.7656	NaN
Q86V15	CASZ1	Zinc finger protein castor homolog 1	3.28E-05	2874174	NaN	NaN	2166041	NaN	3406282.5	NaN	NaN	1892792.875	NaN	NaN	2006483.5	3697621.25	NaN	NaN	NaN	1260661.625	NaN
Q86V21	AACS	Acetoacetyl-CoA synthetase	8.88E-39	3669163.5	3048286.75	3216278	3447081.25	3689202.25	2874872.25	3719377.25	3649850.5	3035605.25	3320759.75	3337704.25	3187367.25	2986479.5	3022590	3112896.5	3715745.25	3886792	3498010.75
Q86V48	LUZP1	Leucine zipper protein 1	2.58E-48	3624130.5	3352893	4211773	3770291.25	3840526.25	3972088	3994970.5	4009837.25	3917000.5	3933387.25	3919786.25	3772079.25	3381643.5	3569100.5	3562369.25	3617190	4174076.25	4135993
Q86V81	ALYREF	THO complex subunit 4	6.94E-47	41214616	36104080	36576224	35983400	35203760	37482312	34583132	34179152	31166760	36341176	33367562	30950708	32847922	30446492	30871174	29399856	30810292	28514150
Q86V85	GPR180	Integral membrane protein GPR180	2.29E-39	569242.5625	961334.0625	503360.9063	549999.3125	483667.125	834502.75	679179.4375	574554.9375	740565.25	645595.625	467847.25	503347.7188	572166.5625	776142.375	581322.1875	420016.8125	801729.25	596070.125
Q86V87	FHIP2B	FHF complex subunit HOOK interacting protein 2B	1.05E-37	983478.8125	751169.8125	1028434.375	807426.8125	1115618.75	886412.8125	984340.375	696892.875	1186943	1104402.625	852946.6875	1002989	702996.0625	543843.0625	592918.9375	1123385.75	807585.9375	454459.5625
Q86V88	MDP1	Magnesium-dependent phosphatase 1	3.44E-44	511780.6875	410089.625	486957.9688	454723.9688	406355.6563	648794.875	442160.9375	315273.8438	449337.0625	468198.6563	372099.9688	381832.0313	153000.9063	425201.1875	408040.0625	458191.9063	488607.625	304683.6875
Q86V97	KBTBD6	Kelch repeat and BTB domain-containing protein 6	1.66E-31	466463.9063	663620.375	695064.75	634931.5	618578.4375	545262.4375	673604.875	803938	619525.125	659786.1875	525034.75	576305.75	659614.625	627879.1875	524302.4375	582160.5625	650376.125	571611.0625
Q86VF2	IGFN1	Immunoglobulin-like and fibronectin type III domain-containing protein 1	0.000159705	97541.45313	NaN	134825.1875	91170.04688	NaN	NaN	101547.7344	NaN	NaN	NaN	NaN	159502.8594	119542.6875	230702.6406	123222.1563	455.038208	NaN	91875.91406
Q86VI3	IQGAP3	Ras GTPase-activating-like protein IQGAP3	5.08E-27	4507462	3614123.25	3721154.75	3584063.5	4430587.5	3138943.75	3019676.25	4377963.5	5652381.5	3413195.75	3767343	3983056.25	3637190.5	3614121.5	2800007.5	4519835.5	3158345.25	4274486
Q86VK4	ZNF410	Zinc finger protein 410	1.49E-21	79552.1875	NaN	71701.9375	89173.54688	55040.47656	119226	251344.8594	243397.0313	52870.27344	187216.0156	134340.4844	83829.82031	87701.49219	237632.4063	47221.05469	55735.31641	60024.55078	462793.625
Q86VM9	ZC3H18	Zinc finger CCCH domain-containing protein 18	3.84E-46	4475352	3961640.25	4744903.5	4547962	4755798	4239513	4436696.5	4633046	4229044.5	4867154.5	4443412.5	4263827	4675800	4663364	4388312.5	4365952	4755479.5	5008732
Q86VN1	VPS36	Vacuolar protein-sorting-associated protein 36	1.60E-42	2841833.75	2222850.25	3178577.75	2628262.75	2281715.25	2237379	2623451.25	2294335.75	2286190.75	2818318.75	2402267	2867084.75	2472826	2738823.25	2376965.75	2427831	2148763.25	2485983
Q86VP1	TAX1BP1	Tax1-binding protein 1	6.93E-38	900698.4375	787527.75	841200.375	836252.125	853322.875	686576.1875	907286.875	825845.6875	809135.4375	775218.4375	734565.0625	746727.6875	851426.3125	676006.25	688216.5625	897866.3125	783299.75	712854.875
Q86VP6	CAND1	Cullin-associated NEDD8-dissociated protein 1	2.51E-49	8820575	11087161	9578129	10558006	9598067	8684357	10136972	9717051	10687996	9674106	9959412	10912372	10943322	13577170	11277621	11982474	11068426	14362468
Q86VQ1	GLCCI1	Glucocorticoid-induced transcript 1 protein	2.80E-36	1127846	1285534.875	1458282.75	1049491.125	1030323.688	781802.8125	1199907.5	1189314.625	1270336.5	962763.3125	790671.125	1186686.875	1224091.125	868766.6875	1446195.125	1388887.5	1191857.875	1187206.25
Q86VR2	RETREG3	Reticulophagy regulator 3	3.52E-21	1378261.375	1175182.375	1423439.375	1402152.625	1356768.875	643417.8125	1016856.875	1358479.75	798071.625	1250181.125	722741.9375	1232434.375	1568922.125	2038722.625	1343128.625	1789855.375	1202294	1696759.5
Q86VS8	HOOK3	Protein Hook homolog 3	2.26E-45	2886803	3088650.75	2977433	2682299.75	2921814.5	3045539	3314090.25	2884732.25	2995375.5	2820073	3169454.25	3348227	2735540.75	2920027.75	2719180	3202343	2966524.75	2451859.75
Q86VU5	COMTD1	Catechol O-methyltransferase domain-containing protein 1	6.83E-29	5001413.5	5694566	4825514.5	4373356	3620853.25	3893982.75	4656304	6505287	4891426.5	6329774	5971283	4564295	5226652	4194683.5	4277550.5	4310957	5039811	4443371
Q86VV8	RTTN	Rotatin	1.94E-17	3690525.25	3363951	2895861.75	1680926.125	4439721	NaN	3801101.25	2381348.75	4092794.5	1945539.75	288529.7813	1261152.25	1446560.875	1600427	1789916.125	2287848	1912676	1293760
Q86VW0	SESTD1	SEC14 domain and spectrin repeat-containing protein 1	4.13E-17	301241.7813	236446.1094	495200.5938	316469.5625	420981.6875	234090.1563	142990.5156	343418.6563	253700.7188	265144.6563	275946.4375	396346.125	70672.44531	209869.3438	285365.2188	270855.625	402272.5938	313179.2188
Q86VX2	COMMD7	COMM domain-containing protein 7	4.88E-28	929062.4375	1130074.75	2024319.125	1386241.5	1139379.375	1262252.5	1054117.75	1182663.25	1747967.5	1229259.875	1211688.75	1360018.75	1119843.125	1622266.625	1217723	1011891.625	1252619	1535041.875
Q86VX9	MON1A	Vacuolar fusion protein MON1 homolog A	7.37E-24	880714.875	895608.4375	1247256.75	658948.4375	909282.875	1205567	1148723.5	1050554.125	1064441.25	924650.1875	581124.5	924074.4375	663608.75	490701.9063	722058.5	716889	634798.625	323009.2813
Q86VZ4	LRP11	Low-density lipoprotein receptor-related protein 11	2.25E-20	920451.5625	1455925.5	NaN	561515	NaN	379763.6875	556240.375	1769162.625	1420060	1973464	2047328.5	1935900	296344.9688	NaN	1079798.125	740505.3125	NaN	477145.625
Q86VZ5	SGMS1	Phosphatidylcholine:ceramide cholinephosphotransferase 1	1.36E-39	829942.8125	1134169.5	1284463.625	882618.6875	637911.0625	690886.5625	1386530.625	780978.4375	937921.6875	1033853.063	1098978.125	1233651	959189.25	1045114	848980	767323.875	908653.0625	810694.25
Q86VZ6	JAZF1	Juxtaposed with another zinc finger protein 1	1.06E-16	2068930.875	417656.3125	NaN	NaN	99441.25781	NaN	230357.0313	NaN	208749.1563	153712.875	NaN	295936	176133.5469	209129.3906	NaN	576338.75	49985.85156	357741.5625
Q86W42	THOC6	THO complex subunit 6 homolog	1.21E-37	7869172.5	6345690.5	6860969.5	7365421	7194493	8314872	6488827	6560835.5	6709322.5	6556676	7083052.5	6846903	6966345.5	6785751	7866251	7103789	7704138.5	6496985.5
Q86W50	METTL16	RNA N6-adenosine-methyltransferase METTL16	1.20E-42	609724.9375	437487.875	489412.2188	417035.5	445626.5625	336708.4688	435320.625	380604.7188	393833.9375	419134.4375	363452.3125	420666.75	440417.5313	457070.4375	347281.7813	424684.3438	403283.7813	443247.625
Q86W56	PARG	Poly(ADP-ribose) glycohydrolase	2.51E-42	2656325.25	2802024.5	2765813.75	2910725.25	3000266.75	2460122.5	2779223.5	3035404	2801980.75	3004848	3018472.25	2715134	2777606.25	3064439.25	3018317	2792286	2725880.75	3004426.25
Q86W74	ANKRD46	Ankyrin repeat domain-containing protein 46	8.38E-07	NaN	188398.875	NaN	NaN	466937.6563	228562.9063	NaN	NaN	NaN	256412.7813	139139.4219	232205.6719	NaN	55456.38672	395222.3125	381834.7188	162112.8594	NaN
Q86W92	PPFIBP1	Liprin-beta-1	1.32E-47	4111502.75	3643677.5	3385722.25	4078275.75	4179992.25	3672248.5	4196203.5	4074184	3917910.5	4312329.5	3731960.5	4177332.75	3949776	3944562.25	4015222.75	4321853	3823812.25	4353259.5
Q86WA6	BPHL	Valacyclovir hydrolase	4.82E-10	1155631	1323442.75	1708162.25	1448811.375	1534529.75	971154.625	864344.5625	1034354.438	NaN	1443416.625	1046158.313	1050276.875	1047501.313	1801084.625	1110609.5	813708.6875	1054854.875	1762124.5
Q86WA8	LONP2	Lon protease homolog 2, peroxisomal	8.24E-49	3305383.5	3404226.5	3798396.5	3407008	2729945.75	3431176	4126239.5	3816155	4093680.25	3491010	3330860.75	2917373.75	3163092	3491117.75	3130169.5	3511635.25	3244957.25	3093153.25
Q86WB0	ZC3HC1	Zinc finger C3HC-type protein 1	2.40E-45	2759189.75	1857905.375	2625470.75	2572839.75	2078551.875	2082163.875	2375956	2188792.75	2335883.5	2910181	2526183	2631587	3114545.25	2976278.25	2302575.75	2505841.5	2885025.25	3273657.5
Q86WC4	OSTM1	Osteopetrosis-associated transmembrane protein 1	9.24E-15	NaN	NaN	NaN	741116.1875	1600657	1006339.313	3125367.25	2523516.75	2130901	1049249.5	1525172.875	1289071.875	1315481.25	883750.0625	NaN	1289511.75	963961.5	1300441.875
Q86WG5	SBF2	Myotubularin-related protein 13	1.60E-18	2112760.75	2972349.75	2114104.75	1567752.25	1244507.875	149398.0469	2240123.25	1904860.25	2120593.25	1352220.25	1055283.875	1410033	1600613.75	1458548.25	1060686.125	927995.1875	1561220.875	1408846.625
Q86WI3	NLRC5	Protein NLRC5	1.30E-25	462272.25	617389.6875	NaN	413771.625	424030.75	1168495.5	737182.9375	330536.6875	580785.9375	1357953.5	1606552.875	369013.75	1137113.625	565437.5625	710989.4375	156783.8281	528255.25	125672.1016
Q86WJ1	CHD1L	Chromodomain-helicase-DNA-binding protein 1-like	1.99E-31	1066286.625	989482.6875	1007796.75	1064391.125	1021026.625	1051932.625	1363888.875	1339125	1039701	1243318.375	1051694.75	982221.75	1177209.75	1129428.75	900035.4375	1139144.25	1046939.938	1100137.5
Q86WN1	FCHSD1	F-BAR and double SH3 domains protein 1	4.02E-34	1675313.75	1465855.875	2547883	1492119	1185862.125	2015848.5	1644504	1554188	1793289.5	1656779.375	1573916.5	834123.9375	1112395.75	1094352.625	1035004.063	1159959.25	1773839.625	800560.6875
Q86WP2	GPBP1	Vasculin	1.91E-27	1015093	1561983.375	1282211.625	1525924.375	1482048	1505086.25	1348849	1457932.5	1194698.75	1135736	1115094.875	1558953.625	1376056.75	1263490.125	1154076.375	924461.0625	1347526.25	1376634.75
Q86WQ0	NR2C2AP	Nuclear receptor 2C2-associated protein	5.54E-34	1591909.25	1447495.25	1464622	1480851	1680543	1375958.875	1668156.25	1384642.125	1640623.75	1474903.375	1580204	1352647.5	1193085.125	1194004.125	1429612.125	1016892	1358516.125	1100195.375
Q86WR0	CCDC25	Coiled-coil domain-containing protein 25	3.03E-33	3475045.75	3266172.75	3828236.75	3276865	3375414.25	3287199	3427723	3446577.75	3476995.75	3613642.5	3498221.5	3888670.5	3826420	3606137.25	3464965.75	3841160.5	3786431.25	3277347.25
Q86WR7	PROSER2	Proline and serine-rich protein 2	7.94E-36	6149893	5317553	6774390.5	6413677.5	6585788	6216037	5660328	6261101	6448364	6799294.5	6444344.5	6220545.5	6342551.5	6838378.5	6533824.5	6369799	6736119	6525178.5
Q86WV5	TEN1	CST complex subunit TEN1	3.78E-19	227989.375	101220.6016	1170559.5	1896493.25	340440.875	849334.875	1734275.5	1005385.563	916002.1875	1112294.75	4251106.5	7400526.5	700603.375	2911108.25	2618700.25	1099529.75	NaN	1027421.938
Q86WV6	STING1	Stimulator of interferon genes protein	8.24E-13	1152444.625	989843.9375	NaN	NaN	1446475.875	1361336.875	1395665.375	NaN	1585383	NaN	NaN	1678107.875	NaN	NaN	NaN	1573109.375	971330.6875	1452506.25
Q86WW8	COA5	Cytochrome c oxidase assembly factor 5	1.00E-21	1338357.5	822244.1875	8544421	1107853.625	328723.2813	965263	1273428.625	408833.8125	663937.9375	957385.3125	2164148.5	619737.8125	602047.625	1008114.875	614677.9375	823731.625	965690.875	673993.875
Q86WX3	RPS19BP1	Active regulator of SIRT1	3.57E-39	4700235.5	4324757.5	4689467.5	4388269	3289032.25	4435344.5	6339995	4682840.5	5161934.5	5249331	4129211.25	3714017.75	4790362	3625798	4111814.25	4492127	3848893.5	3569319.25
Q86WZ6	ZNF227	Zinc finger protein 227	9.78E-34	4829223.5	3708834.75	4791560.5	4993356.5	2831606.25	3190184	5665315	1998489.375	2093622.875	5512199.5	1361701.25	2959671	3470564.5	1120651.875	1550823.5	5025789.5	840060.4375	1315224.625
Q86X02	CDR2L	Cerebellar degeneration-related protein 2-like	1.62E-47	8387316.5	8461256	8228957	7571608	6719698	6989314.5	7056562	8095477.5	6017412.5	8421168	8689243	8606280	7706391	7815000	6698257.5	7728372.5	9281009	8315894
Q86X10	RALGAPB	Ral GTPase-activating protein subunit beta	1.17E-37	1035008.25	1402990.5	1422191.75	1133030.375	1077657.875	909875.1875	1156658.625	1109772.5	1176136.75	940046.5	1032200.063	884668.9375	999075.5625	1214553.375	1080165.375	1270810.125	1003648.438	1394362.75
Q86X27	RALGPS2	Ras-specific guanine nucleotide-releasing factor RalGPS2	3.31E-35	2847900.75	3384089.75	3233750.75	2310854.5	2455800.25	2901957.25	2609063.75	1926254.625	2134188.25	2221892.5	2747365.25	2455244.25	2120723	1940993.125	1636875.5	2896430.5	2095782.375	2102688.5
Q86X40	LRRC28	Leucine-rich repeat-containing protein 28	3.62E-20	74561.92969	25240.4375	NaN	NaN	NaN	108199.1953	47088.38281	NaN	36639.27344	4837.698242	66565.85938	28672.69727	NaN	30144.76367	40576.73828	NaN	NaN	111892.0156
Q86X52	CHSY1	Chondroitin sulfate synthase 1	3.39E-31	669312.5	817362.375	504540.4688	570363.5	587349.8125	641293.1875	518929.4063	528464.1875	500011.5938	575760.0625	531559.8125	589912.1875	486215.4375	482049.8125	606979.6875	346504.75	375535.125	508795.4063
Q86X53	ERICH1	Glutamate-rich protein 1	5.25E-38	1192754.625	1246380	1363364.75	1360060.5	1116172.125	985077.4375	1396493.375	1466868.75	1004695	1198604	1175351.75	1546949.375	1356209.25	1103201.5	1118160.375	1290927.875	1262283.125	1198819.25
Q86X55	CARM1	Histone-arginine methyltransferase CARM1	1.41E-55	11420252	10243789	8763864	10030612	9193590	8973136	9046344	9756500	8504699	9384609	9979797	10001517	10596338	9017734	9953323	7794343	9085366	9306535
Q86X76	NIT1	Deaminated glutathione amidase	3.58E-50	5606869.5	7539555	6248393	6747409	5818866	6924253	7325013	6451708.5	7360288.5	6100864	7044760	6712270	5424762.5	7062045.5	6880179.5	5356557.5	6461323.5	7591604.5
Q86X83	COMMD2	COMM domain-containing protein 2	4.64E-39	1241751.75	1203574.625	1258587.75	1412741.125	1054445.125	1113845.875	995960.625	1226982.75	1348718	1227858.25	1094081.25	1075089.25	1013948.813	947694.875	1069053.875	1008338.125	1016235.5	986233.6875
Q86X95	CIR1	Corepressor interacting with RBPJ 1	2.14E-41	678765.75	900566.125	789306.9375	640504.6875	892490.9375	750767.875	819307.9375	777781.375	889071.625	649996.6875	778216.5	733340.1875	658705.6875	666645.4375	787450.0625	879738.9375	706211.4375	896191.8125
Q86XA9	HEATR5A	HEAT repeat-containing protein 5A	1.27E-40	288919.7813	203962.1719	295045	220695.6094	214707.9063	285958.4375	187544.4375	220360.7656	256620.2656	218149.7813	196985.4844	230044.4688	260466.9219	340608.5938	247009.4531	211570.2188	296940.4375	284836.9688
Q86XI2	NCAPG2	Condensin-2 complex subunit G2	3.66E-42	1088321.875	1210012.125	1437469.625	1407630.125	1397819.375	1142704.75	1878526.625	1382396.25	1554428.375	1215507.125	1411052.5	1269986.25	1583455.625	1481466.25	1261676.25	1489836.125	1549589.125	1312594
Q86XJ1	GAS2L3	GAS2-like protein 3	2.49E-24	336864.5625	230251.0156	471442.6563	355751.1563	358999.5	361301	707512.6875	583557.5625	606354.125	280712.5625	207444.2188	417027.8125	283159.9063	100649.2656	261365.0313	290197.8438	278903.125	318020.2813
Q86XK2	FBXO11	F-box only protein 11	3.09E-36	670072.5625	873836.375	876399.9375	642981.9375	700758.5	920156.0625	626111.9375	681713	800694.75	723137.9375	641458.25	692928.8125	635159.9375	806075.0625	652518.4375	722899.875	688800.4375	622256.4375
Q86XK3	SFR1	Swi5-dependent recombination DNA repair protein 1 homolog	8.18E-46	2154894.5	3100632.5	1649467.875	1813389.375	1751746.5	1656354.5	1745192.5	2042189.625	1897769.375	1613131	951702.6875	1762575.875	2952074	1386814.25	1318630.25	1851386.125	1635969.5	1164166.125
Q86XL3	ANKLE2	Ankyrin repeat and LEM domain-containing protein 2	3.84E-43	6486996.5	5847393.5	5987271	6126324.5	6248182.5	6157796.5	6031444.5	6215779.5	6274131.5	5834687	6109870.5	6504578	6161380	5748750	5644873	5327372.5	5631467.5	5629981
Q86XN7	PROSER1	Proline and serine-rich protein 1	1.74E-21	3441661.25	8024287	3250966.25	10468469	6438085	4019483.75	10788478	7548745.5	8033679	5249900.5	5467210.5	6096683.5	7111936.5	5654844	8652860	5415613	7553714.5	7061082
Q86XN8	MEX3D	RNA-binding protein MEX3D	9.10E-20	593773.75	384796.7813	324921.1875	432429.6563	418900.5313	239257.9688	382896.9688	466990.4063	278652.5938	415840.875	347193.9688	214422.4063	347862.125	277410.2188	268707.8438	244985.4531	335326.3125	208374.25
Q86XP1	DGKH	Diacylglycerol kinase eta	0.000658845	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	120141.4688	NaN	NaN	NaN	NaN	89994.27344	NaN	NaN	794044.6875	157370.875
Q86XP3	DDX42	ATP-dependent RNA helicase DDX42	1.10E-43	7043701.5	6052120.5	6797195	6944440	6396086	6443219.5	6909596.5	6783725	6758535	6944105	6807255.5	6464803.5	7204330.5	6910514.5	6830863	6563809	6940862.5	6616854
Q86XR8	CEP57	Centrosomal protein of 57 kDa	3.51E-23	2305231.5	1333083.75	2826925.5	1886651.875	2273002.5	2109090.5	1888499.375	2358479.25	1763477.375	1640866.625	2435470	1350480.25	1794535.375	1826141.75	1817173.25	2145003.5	1985395.625	2695086.25
Q86XZ4	SPATS2	Spermatogenesis-associated serine-rich protein 2	3.28E-43	7244393.5	6841798.5	6551151	7054256	6725303	6010632	7656578.5	7110326.5	7011487	6776487.5	7081632.5	6557590	7024586	6681436	6612504.5	7200646	7314140.5	6698871
Q86Y07	VRK2	Serine/threonine-protein kinase VRK2	7.88E-46	7466600.5	6072097.5	9995497	6870685	7165490	6897566	6242034	7279501.5	8250674.5	8726077	7913427.5	6005168.5	6256139.5	6553514.5	7613064.5	6825960.5	6658695.5	6112465.5
Q86Y13	DZIP3	E3 ubiquitin-protein ligase DZIP3	0.000637775	31206.87695	NaN	NaN	31013.09375	NaN	NaN	NaN	31376.8457	NaN	57854.60156	NaN	28214.375	108233.8281	NaN	69091.14844	NaN	33192.30469	34417.72656
Q86Y37	CACUL1	CDK2-associated and cullin domain-containing protein 1	3.64E-25	669504.6875	911357.875	1001691.563	817295.8125	770933.875	1140995.125	627029.5625	480285.75	599154.9375	776107.25	839000.5625	1066127.875	516258.875	565673.1875	958917.5625	693572.75	676322.125	770155.6875
Q86Y39	NDUFA11	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	2.47E-32	570938.3125	281798.25	354442.9375	186330.6094	335579.3438	299752.6563	289190.4688	409026.6563	365588.4063	240614.3906	140096.5	294086.3125	277134.25	462343.875	326307.75	221331.0625	285157.375	241265.4375
Q86Y46	KRT73	Keratin, type II cytoskeletal 73	0.000262324	410435.4063	1027259.875	758186.875	NaN	NaN	2018750.875	NaN	744766.0625	1136573.125	2258189.75	NaN	537461.8125	1669956.75	1737220.375	915295.3125	1784566.625	1159711.5	1108510.625
Q86Y56	DNAAF5	Dynein axonemal assembly factor 5	8.10E-56	9834312	9902041	10728913	10533254	10133515	10396630	11637970	11444601	12342144	11240244	10764485	11387541	11477074	12872014	12088983	10915578	10311487	10999458
Q86Y79	PTRH1	Probable peptidyl-tRNA hydrolase	1.18E-43	3721269	3513175	5338685.5	4026665.25	4222333	4232888	4569060.5	3962739.25	4516175	4352220	4723807.5	4475745.5	4536705	3537760.25	4565423.5	4185569.75	4347696.5	4274978.5
Q86Y82	STX12	Syntaxin-12	4.53E-30	3477899.75	4062086.75	3907992	3222624.75	3876786	3565000.25	3647843.25	3757846.25	3660866	3004450	3351641.25	2794103.75	3183923	2720032.25	3530838.5	3842384.25	2960253.25	3255286.75
Q86Y91	KIF18B	Kinesin-like protein KIF18B	2.28E-40	1553388.125	1665601.75	1715665.625	1660441.25	1573408.375	1443499.25	2085636	1709991.375	1677193.125	1862534.375	1536453.875	1792471	1768404.125	1872704.75	1761568	1717674.25	1810020	1741428.75
Q86YA3	ZGRF1	Protein ZGRF1	1.46E-08	1882850	1681646.5	1396082.25	1903241	1608682.5	1901802.125	1398848.5	1306168.75	1870950.125	1451739.625	1679810.875	1619259.125	1597787.25	2776219	1685811.25	1943805.5	2464062	3083749.75
Q86YC2	PALB2	Partner and localizer of BRCA2	1.41E-12	444331.6875	417532.3438	544013.1875	NaN	192250.4063	388127.9375	232554.7813	512973.625	1045797.563	72947.14844	318094.6875	452706.6563	262691.5313	350396.6875	231733.5313	233194.7656	284184.4063	461423.2188
Q86YD1	PTOV1	Prostate tumor-overexpressed gene 1 protein	2.84E-32	354477.0625	630931	1318954.625	784978.9375	785519.5	709961.125	1262380.875	580211	461755.5938	344987.3438	219917.875	298185.0313	369646.9688	590739.4375	654372.875	709412.125	673667.5625	768951.1875
Q86YH6	PDSS2	All trans-polyprenyl-diphosphate synthase PDSS2	1.29E-20	337560.5938	399896.0313	405050.625	395890.6563	328937.5	328573.7813	402951.375	320645.875	380895.6563	329510.5625	280908.7813	227382.6563	347883.875	425496.4063	176249.2813	323345.3125	339111.5	305163.25
Q86YJ7	ANKRD13B	Ankyrin repeat domain-containing protein 13B	3.88E-16	NaN	NaN	NaN	1.099633455	NaN	NaN	1.075083852	0.723022521	NaN	0.721401751	NaN	1.611605763	1	NaN	NaN	NaN	NaN	0.021438867
Q86YM7	HOMER1	Homer protein homolog 1	1.91E-40	3026562.5	2950696	3882518	3701642.25	4183668.5	3399355.75	3869653.5	3197755.5	2922213.5	3490448.5	3114766.5	3219959.5	3713889.25	3127473.75	2519915.75	4489323	3283681.5	2412224.5
Q86YN1	DOLPP1	Dolichyldiphosphatase 1	3.70E-21	261513.8438	406340	204175.4844	450003.0625	159659.2344	92453.82813	256427.7344	206604.9531	237471.25	319043	286302.875	279000.875	222066.0156	253702.7969	259358	222018.5781	260761.3125	305182.0938
Q86YP4	GATAD2A	Transcriptional repressor p66-alpha	7.55E-33	9762766	9438684	10854579	9014294	10286343	9245111	11792941	10609667	10329211	10690786	10472581	9471381	10456317	10061187	9549636	10746115	10354087	9576576
Q86YQ8	CPNE8	Copine-8	1.11E-39	5719041.5	5019983.5	5028712.5	3761115.75	4303117.5	3719394.75	3993019.75	4155330.75	4321793.5	4177937.5	4601921	3872888	4190238.25	5111801.5	4039099	4305059	4006520	4896962
Q86YR5	GPSM1	G-protein-signaling modulator 1	3.20E-33	2698659.75	3157194.5	2835854.25	2934662	2684452	3092804	2920219.5	3145212.75	3089853.5	2566052.5	2835750.5	2568625.5	2647176.5	2644208.5	2794524.25	3184823.25	2959204.75	2924998.75
Q86YS6	RAB43	Ras-related protein Rab-43	1.43E-34	3298906.5	3817476	1591357.625	3969835.75	1701158.875	1464724.875	1601706.75	2529214.25	1551835.25	1095103.375	5052954.5	2170985.5	1639999.625	710123.8125	1627358.375	1313516	698936.0625	1655570.75
Q86YS7	C2CD5	C2 domain-containing protein 5	9.55E-47	2714170.5	2583439	2998843.25	2807842.5	2828600.5	3173528.25	3174869	3197683.25	2632781.5	3064363.75	2657338.75	2553400.25	2490739.25	3074807	2760203.5	2576460	2694272.75	3092866.75
Q86YT6	MIB1	E3 ubiquitin-protein ligase MIB1	3.30E-38	1823154	2059056.75	2020092.875	2008780.875	1633341.5	2235012.5	2137410.5	1576401.75	2281891	1945385.5	1606968.25	2020603.125	2006987.25	1835771.75	1811345.75	2302853	1831326.5	1730613.375
Q86YV5	PRAG1	Inactive tyrosine-protein kinase PRAG1	5.82E-34	451083.0938	569729.25	586125.125	564659.875	569126.5625	511605.4688	531922.3125	495754.4375	363125.4375	561597.5	543794.625	519608	529246.375	555691.375	538434.3125	377567.6563	512994.75	526704.125
Q86YV9	HPS6	BLOC-2 complex member HPS6	2.60E-37	2385461	2124088.5	2345253.75	2149194.5	2142305.25	2163960.25	2473740	2529298.5	2172288	2528983	2225584	2162547.75	2328472	2295912.75	2046473.375	2366350.5	2526397.25	2173288.5
Q86YW9	MED12L	Mediator of RNA polymerase II transcription subunit 12-like protein	0.000752254	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2338620.25	1518209.75	NaN	979223.5625	NaN	NaN	2959342	NaN
Q86YZ3	HRNR	Hornerin	3.66E-21	241367.875	71061.69531	31752.11719	55319.30859	NaN	NaN	34842.87109	51347.49219	23591.60352	NaN	67091.9375	31578.27148	30399.17578	60435.73438	87998.47656	13702.0293	167127.125	25176.13867
Q86Z02	HIPK1	Homeodomain-interacting protein kinase 1	2.03E-05	NaN	NaN	694151.125	NaN	1223621.375	1121200.125	1880444.625	1787841.625	NaN	NaN	531537.5625	NaN	NaN	633611.8125	1162025.5	797189.3125	NaN	2276691.25
Q8IU60	DCP2	m7GpppN-mRNA hydrolase	8.04E-31	16631895	21902862	22396366	15690736	19358892	19822912	14874693	12317348	23394774	14538352	19123372	19658098	14028893	13348362	15140517	18145980	18093810	17097066
Q8IU81	IRF2BP1	Interferon regulatory factor 2-binding protein 1	8.96E-40	3180375.75	2852339	3379421.5	3029524.75	3278249	3224826	3405899.75	3390659.25	3215470	3186955.75	3539661	3217893.75	3269407.75	3265069.75	3276346.5	3017975	3224914.5	3193283.25
Q8IU85	CAMK1D	Calcium/calmodulin-dependent protein kinase type 1D	9.38E-35	1241575.75	1427412.25	1242833.25	1765961.75	1132525.125	1344407.375	1120035.25	1394282.5	1201607.875	1421775.75	1208231.75	1574736.75	1330405.75	1641477.25	1458515	1208265	1295967.75	1411181.125
Q8IUC4	RHPN2	Rhophilin-2	4.41E-27	2315994.5	3273439.25	2482382.25	2169776.5	2894531.5	2310054	2401225.5	1562539.875	2639094	2557943.75	1965922.375	1813127.375	2334061.5	1957286	1347682.375	1772899.875	2009971.25	1810922.5
